date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:36	285224/285224	---M-Z	200	added ('OK')	text/html	etag:%22d973cf8a0b58cf7c57b48c523abd5689%22	https://alejandrovidela.framer.website/	C:/Portafolio/alejandrovidela.framer.website/index.html	(from )
00:17:36	103/103	---M-Z	200	added ('OK')	text/plain	etag:%22f59d2535f5a892affccc064bed511aae%22	https://alejandrovidela.framer.website/robots.txt		(from )
00:17:36	6400/6400	---MC-	200	added ('OK')	image/png	etag:%22250e0c6c93ec836594645034bf5412fe%22	https://framerusercontent.com/images/kDGVhMRbQ9OXMUkT79TbluZrXk.png	C:/Portafolio/framerusercontent.com/images/kDGVhMRbQ9OXMUkT79TbluZrXk.png	(from https://alejandrovidela.framer.website/)
00:17:37	39884/39884	---MC-	200	added ('OK')	image/png	etag:%225c472c82ab05f6d51813370e40f86b79%22	https://framerusercontent.com/images/AD0ibtMkqN4cIFytQc5Ybvo3DQ.png	C:/Portafolio/framerusercontent.com/images/AD0ibtMkqN4cIFytQc5Ybvo3DQ.png	(from https://alejandrovidela.framer.website/)
00:17:37	167196/167196	---M-Z	200	added ('OK')	text/html	etag:%2243f26ae3821e21ebfdc4c0707e9941ef%22	https://alejandrovidela.framer.website/contact	C:/Portafolio/alejandrovidela.framer.website/contact.html	(from https://alejandrovidela.framer.website/)
00:17:38	252421/252421	---M-Z	200	added ('OK')	text/html	etag:%2230061c2c3bcd3cd224fef924187430f7%22	https://alejandrovidela.framer.website/about-me	C:/Portafolio/alejandrovidela.framer.website/about-me.html	(from https://alejandrovidela.framer.website/)
00:17:38	263478/263478	---MC-	200	added ('OK')	image/png	etag:%226d21e07721503de9bf331dccfa88cf60%22	https://framerusercontent.com/images/AaJMT371Qqi0VCCyiqIANvXGxHc.png	C:/Portafolio/framerusercontent.com/images/AaJMT371Qqi0VCCyiqIANvXGxHc.png	(from https://alejandrovidela.framer.website/)
00:17:38	3321/3321	---MC-	200	added ('OK')	image/png	etag:%226890522dad738cdbac210917b8f1e9c3%22	https://framerusercontent.com/images/Ojam5KebIshpiJmxGWLMbvPjlyI.png	C:/Portafolio/framerusercontent.com/images/Ojam5KebIshpiJmxGWLMbvPjlyI.png	(from https://alejandrovidela.framer.website/)
00:17:38	6766/6766	---MC-	200	added ('OK')	image/png	etag:%22ec729512c0f760028905b5d858db34aa%22	https://framerusercontent.com/images/OtMhY1WRP4HEyK32K5nLPN0s6uo.png	C:/Portafolio/framerusercontent.com/images/OtMhY1WRP4HEyK32K5nLPN0s6uo.png	(from https://alejandrovidela.framer.website/)
00:17:38	4075/4075	---MC-	200	added ('OK')	image/png	etag:%2251c06e69a2b66eebfa44f954359d960c%22	https://framerusercontent.com/images/UYUleKYzSo8ujGJRGZiEgKD2dk.png	C:/Portafolio/framerusercontent.com/images/UYUleKYzSo8ujGJRGZiEgKD2dk.png	(from https://alejandrovidela.framer.website/)
00:17:39	6507/6507	---MC-	200	added ('OK')	image/png	etag:%22f832c9867c5534c9a0fa2d3db0bf6dd8%22	https://framerusercontent.com/images/hZXmHzSrKasschqRogdRH46A.png	C:/Portafolio/framerusercontent.com/images/hZXmHzSrKasschqRogdRH46A.png	(from https://alejandrovidela.framer.website/)
00:17:39	3022/3022	---MC-	200	added ('OK')	image/png	etag:%223c6da7e1b4c59c693472a8e4d8684158%22	https://framerusercontent.com/images/wwhSNMjyqCG4jaGRIKxyzx3Ny5E.png	C:/Portafolio/framerusercontent.com/images/wwhSNMjyqCG4jaGRIKxyzx3Ny5E.png	(from https://alejandrovidela.framer.website/)
00:17:39	269034/269034	---M-Z	200	added ('OK')	text/html	etag:%224a20788aec8801977ef8d4ae823352ff%22	https://alejandrovidela.framer.website/work/rcalendar	C:/Portafolio/alejandrovidela.framer.website/work/rcalendar.html	(from https://alejandrovidela.framer.website/)
00:17:39	211585/211585	---MC-	200	added ('OK')	image/png	etag:%22ccd0c864a5aae422b5727aef6bd49889%22	https://framerusercontent.com/images/EAxviQUpHWpSFcEBIHJl71J6E.png	C:/Portafolio/framerusercontent.com/images/EAxviQUpHWpSFcEBIHJl71J6E.png	(from https://alejandrovidela.framer.website/)
00:17:40	270087/270087	---M-Z	200	added ('OK')	text/html	etag:%22c74a2983fbd3617f206f7a790847f49d%22	https://alejandrovidela.framer.website/work/marco-ux	C:/Portafolio/alejandrovidela.framer.website/work/marco-ux.html	(from https://alejandrovidela.framer.website/)
00:17:40	296526/296526	---MC-	200	added ('OK')	image/png	etag:%22831531d0580998c9eff873771194e9e7%22	https://framerusercontent.com/images/hcwfKvocAoRbdwON0tkGrX2zbhc.png	C:/Portafolio/framerusercontent.com/images/hcwfKvocAoRbdwON0tkGrX2zbhc.png	(from https://alejandrovidela.framer.website/)
00:17:41	273588/273588	---M-Z	200	added ('OK')	text/html	etag:%223d7a0415f6788668b4697ed9624e7f70%22	https://alejandrovidela.framer.website/work/kit-ui-rflex	C:/Portafolio/alejandrovidela.framer.website/work/kit-ui-rflex.html	(from https://alejandrovidela.framer.website/)
00:17:41	494412/494412	---MC-	200	added ('OK')	image/png	etag:%22aa3250adcee49fc0e89ed9b274a7fd80%22	https://framerusercontent.com/images/a9DZi64gcyi9Im5Q8VVKe3NDwA.png	C:/Portafolio/framerusercontent.com/images/a9DZi64gcyi9Im5Q8VVKe3NDwA.png	(from https://alejandrovidela.framer.website/)
00:17:41	272030/272030	---M-Z	200	added ('OK')	text/html	etag:%22d7bda942795a80732dc9ffbff4413bd3%22	https://alejandrovidela.framer.website/work/webapp-gdp	C:/Portafolio/alejandrovidela.framer.website/work/webapp-gdp.html	(from https://alejandrovidela.framer.website/)
00:17:42	5405835/5405835	---MC-	200	added ('OK')	image/png	etag:%22cdbe0478f7e6695db04ed9e85b460067%22	https://framerusercontent.com/images/fbRGyq3JsZvhVYGEFVeIvyqp9T0.jpg	C:/Portafolio/framerusercontent.com/images/fbRGyq3JsZvhVYGEFVeIvyqp9T0.png	(from https://alejandrovidela.framer.website/)
00:17:42	270576/270576	---M-Z	200	added ('OK')	text/html	etag:%229996042be593f8e823de0335b84aa8d8%22	https://alejandrovidela.framer.website/work/snusi	C:/Portafolio/alejandrovidela.framer.website/work/snusi.html	(from https://alejandrovidela.framer.website/)
00:17:42	267670/267670	---MC-	200	added ('OK')	image/png	etag:%220e3f07f040637c8c3a3be3b15b056d08%22	https://framerusercontent.com/images/2BdIhNOjVk4BDgt8fSpmKmOkw.png	C:/Portafolio/framerusercontent.com/images/2BdIhNOjVk4BDgt8fSpmKmOkw.png	(from https://alejandrovidela.framer.website/)
00:17:43	274964/274964	---M-Z	200	added ('OK')	text/html	etag:%22713aeb99e5d568c3673a0a1bda95e790%22	https://alejandrovidela.framer.website/work/tne	C:/Portafolio/alejandrovidela.framer.website/work/tne.html	(from https://alejandrovidela.framer.website/)
00:17:43	219648/219648	---MC-	200	added ('OK')	image/png	etag:%22c95a3ddc4c405aa443b824023d2fc5f2%22	https://framerusercontent.com/images/o8OqCElTzleZ90arhjUUWzOG4.png	C:/Portafolio/framerusercontent.com/images/o8OqCElTzleZ90arhjUUWzOG4.png	(from https://alejandrovidela.framer.website/)
